SECTION,STATION,SIGNAL NAME,CUMMULATIVE DISTANT(IN Meter)
NGP-BSP,NGP,NGP STR,0
NGP-BSP,NGP,NGP INT STR,391.04
NGP-BSP,NGP,NGP ADV STR,1150.42
NGP-BSP,NGP,NGP GATE SIG,1728.18
NGP-BSP,NGP,NEU SEC AHEAD,2315.67
NGP-BSP,NGP,GATE IN DIST,3197.96
NGP-BSP,NGP,NGP GATE SIG,4580.22
NGP-BSP,NGP,KAV HOME,4857.52
NGP-BSP,KAV,KAV STR,6405.7
NGP-BSP,KAV,KAV ADV STR,7279.3
NGP-BSP,KAV,A:A2,8272.98
NGP-BSP,KAV,A:A4,10534.94
NGP-BSP,KAV,A:A6,11411.45
NGP-BSP,KAV,KP HOME,12985.42
NGP-BSP,KP,KP STR,14087.59
NGP-BSP,KP,KP ADV STR,14559.95
NGP-BSP,KP,A:A10,15786.23
NGP-BSP,KP,KNHN HOME,16819.6
NGP-BSP,KNHN,KNHN STR,18571.7
NGP-BSP,KNHN,KNHN ADV STR,19380.94
NGP-BSP,KNHN,NEU SEC AHEAD,20207.28
NGP-BSP,KNHN,A:A12,20631.63
NGP-BSP,KNHN,A:A14,21702.7
NGP-BSP,KNHN,SAL HOME,23022.78
NGP-BSP,SAL,SAL STR,24444.21
NGP-BSP,SAL,SAL ADV STR,24910.72
NGP-BSP,SAL,A:A20,26142.52
NGP-BSP,SAL,SA G:A22,27124.74
NGP-BSP,SAL,A:A24,27956.64
NGP-BSP,SAL,CHCR HOME,29585.02
NGP-BSP,CHCR,CHCR STR,30946.01
NGP-BSP,CHCR,CHCR ADV STR,31410.64
NGP-BSP,CHCR,A:A30,32440.61
NGP-BSP,CHCR,A:A32,33557.41
NGP-BSP,CHCR,SA G:A34,34757.77
NGP-BSP,CHCR,TAR HOME,36232.63
NGP-BSP,TAR,TAR STR,37372.61
NGP-BSP,TAR,TAR ADV STR,37895.8
NGP-BSP,TAR,A:A36,39062.75
NGP-BSP,TAR,NEU SEC AHEAD,39533.45
NGP-BSP,TAR,A:A38,40452.86
